Date,Open,High,Low,Close,Volume,Adj Close
2015-11-09,19.712,21.109,19.668,19.965,157820000,17.57527
2015-11-06,19.272,19.998,19.261,19.668,127594200,17.31382
2015-11-05,18.535,19.877,18.425,19.481,231799700,17.1492
2015-11-04,18.073,18.612,18.073,18.524,65053900,16.30675
2015-11-03,18.04,18.447,18.007,18.106,60485000,15.93878
2015-11-02,17.93,18.172,17.842,18.051,38122700,15.89036
2015-10-30,18.15,18.348,18.018,18.029,45465400,15.871
2015-10-29,17.93,18.293,17.853,18.249,75760500,16.06466
2015-10-28,17.886,18.194,17.699,17.941,74226200,15.79353
2015-10-27,17.853,18.095,17.765,17.952,74933900,15.80321
2015-10-26,17.633,18.227,17.633,17.908,101041000,15.76448
2015-10-23,17.49,17.49,17.49,17.49,000,15.39651
2015-10-22,17.49,17.49,17.49,17.49,000,15.39651
2015-10-21,17.49,17.49,17.49,17.49,000,15.39651
2015-10-20,17.49,17.49,17.49,17.49,000,15.39651
2015-10-19,17.49,17.49,17.49,17.49,000,15.39651
2015-10-16,17.49,17.49,17.49,17.49,000,15.39651
2015-10-15,17.49,17.49,17.49,17.49,000,15.39651
2015-10-14,17.391,17.699,17.391,17.49,44297800,15.39651
2015-10-13,17.578,17.721,17.435,17.567,54698800,15.4643
2015-10-12,17.49,17.875,17.303,17.666,93633300,15.55145
2015-10-09,17.567,17.765,17.435,17.49,41525800,15.39651
2015-10-08,18.48,18.48,17.413,17.457,140057100,15.36746
2015-10-07,18.293,18.293,18.293,18.293,000,16.1034
2015-10-06,18.293,18.293,18.293,18.293,000,16.1034
2015-10-05,18.293,18.293,18.293,18.293,000,16.1034
2015-10-02,18.293,18.293,18.293,18.293,000,16.1034
2015-10-01,18.293,18.293,18.293,18.293,000,16.1034
2015-09-30,17.545,18.315,17.49,18.293,211038100,16.1034
2015-09-29,17.369,17.589,17.237,17.567,114190200,15.4643
2015-09-28,17.105,17.556,16.962,17.512,91425800,15.41588
2015-09-25,16.665,17.182,16.665,17.149,136070900,15.09633
2015-09-24,16.445,16.83,16.357,16.797,78862500,14.78646
2015-09-23,16.401,16.50,16.148,16.445,54580600,14.4766
2015-09-22,16.467,16.753,16.467,16.555,38673800,14.57343
2015-09-21,16.456,16.588,16.324,16.467,40488300,14.49596
2015-09-18,16.676,16.819,16.522,16.533,40899200,14.55406
2015-09-17,16.874,17.006,16.61,16.621,50848600,14.63153
2015-09-16,16.841,17.38,16.533,16.973,74128900,14.9414
2015-09-15,17.083,17.105,16.764,17.006,107602400,14.97045
2015-09-14,17.05,17.545,16.423,17.523,183936600,15.42556
2015-09-11,16.885,17.226,16.83,17.116,288708500,15.06728
2015-09-10,16.566,16.797,16.456,16.775,205749000,14.7671
2015-09-09,16.401,16.797,16.401,16.676,241917500,14.67995
2015-09-08,15.972,16.676,15.642,16.566,330814200,14.58311
2015-09-07,16.203,16.511,15.576,15.95,287948600,14.04085
2015-09-04,16.379,16.379,16.379,16.379,000,14.4185
2015-09-03,16.379,16.379,16.379,16.379,000,14.4185
2015-09-02,16.39,16.907,16.192,16.379,255045200,14.4185
2015-09-01,16.126,16.874,15.851,16.863,304904700,14.84456
2015-08-31,15.62,16.478,15.356,16.456,202628500,14.48628
2015-08-28,15.51,15.752,15.235,15.664,208950900,13.78908
2015-08-27,14.476,15.499,14.278,15.378,212008800,13.53731
2015-08-26,13.915,14.685,13.64,14.322,235214600,12.60771
2015-08-25,13.794,14.388,13.101,13.629,289470600,11.99766
2015-08-24,15.323,15.345,14.08,14.157,334859400,12.46246
2015-08-21,16.071,16.214,15.62,15.642,123792800,13.76971
2015-08-20,16.434,16.489,16.126,16.148,88124700,14.21515
2015-08-19,16.357,16.687,15.95,16.50,199062100,14.52501
