Date,Open,High,Low,Close,Volume,Adj Close
2016-03-30,12.576,12.84,12.564,12.84,53970000,10.54319
2016-03-29,12.612,12.624,12.456,12.516,31831700,10.27715
2016-03-28,12.744,12.78,12.54,12.576,35862100,10.32641
2016-03-25,12.612,12.72,12.60,12.708,23707000,10.4348
2016-03-24,12.732,12.756,12.60,12.624,37240600,10.36583
2016-03-23,12.852,12.924,12.732,12.84,43027800,10.54319
2016-03-22,12.924,13.128,12.828,12.864,62548200,10.5629
2016-03-21,12.66,13.032,12.66,12.96,92043200,10.64172
2016-03-18,12.504,12.684,12.48,12.648,79721500,10.38553
2016-03-17,12.432,12.576,12.36,12.504,61099600,10.26729
2016-03-16,12.324,12.54,12.30,12.42,66488600,10.19832
2016-03-15,12.336,12.432,12.192,12.384,41792000,10.16876
2016-03-14,12.252,12.552,12.252,12.312,65515800,10.10964
2016-03-11,12.12,12.264,12.048,12.192,38373600,10.0111
2016-03-10,12.288,12.42,12.156,12.18,47402000,10.00125
2016-03-09,12.168,12.264,12.048,12.204,32590000,10.02096
2016-03-08,12.432,12.432,11.928,12.336,64315600,10.12934
2016-03-07,12.42,12.588,12.36,12.408,60635300,10.18847
2016-03-04,12.108,12.60,12.084,12.48,138124900,10.24759
2016-03-03,12.108,12.216,12.048,12.132,55308900,9.96184
2016-03-02,11.70,12.156,11.664,12.12,67661300,9.95198
2016-03-01,11.544,11.724,11.496,11.64,37791000,9.55785
2016-02-29,11.748,11.772,11.304,11.472,56689600,9.4199
2016-02-26,11.724,11.796,11.592,11.748,39215400,9.64653
2016-02-25,12.144,12.156,11.52,11.604,62207200,9.52828
2016-02-24,12.072,12.18,12.012,12.18,30010300,10.00125
2016-02-23,12.348,12.348,12.06,12.144,42587400,9.97169
2016-02-22,12.156,12.372,12.072,12.348,61773900,10.1392
2016-02-19,12.108,12.168,11.988,12.048,31889800,9.89286
2016-02-18,12.216,12.264,12.108,12.108,40617800,9.94213
2016-02-17,12.036,12.264,11.988,12.18,58516700,10.00125
2016-02-16,11.808,12.036,11.796,12.012,42838600,9.8633
2016-02-15,11.592,11.82,11.58,11.748,27849900,9.64653
2016-02-12,11.904,11.904,11.904,11.904,000,9.77462
2016-02-11,11.904,11.904,11.904,11.904,000,9.77462
2016-02-10,11.904,11.904,11.904,11.904,000,9.77462
2016-02-09,11.904,11.904,11.904,11.904,000,9.77462
2016-02-08,11.904,11.904,11.904,11.904,000,9.77462
2016-02-05,11.952,11.964,11.892,11.904,27089300,9.77462
2016-02-04,11.868,12.00,11.856,11.94,37309900,9.80418
2016-02-03,11.82,11.868,11.724,11.82,27457200,9.70565
2016-02-02,11.76,12.036,11.736,11.94,36910400,9.80418
2016-02-01,11.976,12.012,11.688,11.76,41773200,9.65638
2016-01-29,11.688,12.096,11.628,12.00,54443500,9.85345
2016-01-28,11.784,11.868,11.58,11.628,30254000,9.54799
2016-01-27,11.916,11.976,11.52,11.856,56903700,9.73521
2016-01-26,12.384,12.384,11.832,11.844,64790100,9.72535
2016-01-25,12.48,12.528,12.396,12.444,37643100,10.21803
2016-01-22,12.48,12.54,12.264,12.48,46675200,10.24759
2016-01-21,12.576,12.90,12.384,12.384,60614500,10.16876
2016-01-20,12.84,12.96,12.528,12.648,60375200,10.38553
2016-01-19,12.54,12.936,12.492,12.852,50110900,10.55304
2016-01-18,12.408,12.672,12.36,12.492,42104000,10.25744
2016-01-15,12.792,12.96,12.504,12.552,44820200,10.30671
2016-01-14,12.708,12.96,12.576,12.924,66631400,10.61216
2016-01-13,13.068,13.128,12.84,12.852,39170900,10.55304
2016-01-12,12.996,13.092,12.768,12.972,56164200,10.65158
2016-01-11,13.20,13.296,12.816,12.912,73201400,10.60231
2016-01-08,13.452,13.548,13.08,13.344,74752700,10.95703
2016-01-07,13.692,13.692,13.092,13.128,17476100,10.77967
2016-01-06,13.704,13.872,13.668,13.836,51570600,11.36103
2016-01-05,13.524,13.884,13.38,13.68,66326900,11.23293
2016-01-04,14.40,14.436,13.476,13.596,56349700,11.16396
2016-01-01,14.388,14.388,14.388,14.388,000,11.81428
2015-12-31,14.52,14.556,14.376,14.388,49125800,11.81428
2015-12-30,14.508,14.532,14.34,14.52,53266700,11.92267
2015-12-29,14.388,14.52,14.364,14.508,61980200,11.91282
2015-12-28,14.916,14.952,14.376,14.376,82240800,11.80443
2015-12-25,14.808,14.808,14.808,14.808,000,12.15916
2015-12-24,14.952,15.072,14.688,14.808,64022900,12.15916
2015-12-23,14.964,15.336,14.88,14.976,103901800,12.2971
2015-12-22,15.00,15.144,14.856,14.916,69809100,12.24784
2015-12-21,14.568,15.264,14.532,15.012,128114200,12.32666
2015-12-18,14.436,15.06,14.424,14.676,102294400,12.05077
2015-12-17,14.364,14.568,14.352,14.484,64827400,11.89311
2015-12-16,14.376,14.412,14.256,14.268,39276200,11.71575
2015-12-15,14.436,14.508,14.232,14.304,36448700,11.74531
2015-12-14,14.076,14.532,14.052,14.484,58723600,11.89311
2015-12-11,14.292,14.304,14.076,14.196,37950800,11.65663
2015-12-10,14.34,14.568,14.292,14.352,41760300,11.78472
2015-12-09,14.304,14.544,14.28,14.388,42938400,11.81428
2015-12-08,14.484,14.508,14.28,14.352,50310100,11.78472
2015-12-07,14.616,14.70,14.448,14.58,40279200,11.97194
2015-12-04,14.772,14.856,14.496,14.544,76453200,11.94238
2015-12-03,14.868,15.30,14.70,14.94,142597600,12.26754
2015-12-02,14.04,15.168,13.992,15.012,161576000,12.32666
2015-12-01,14.04,14.232,13.812,14.10,68025300,11.5778
2015-11-30,14.064,14.244,13.80,14.088,65849300,11.56795
2015-11-27,14.616,14.64,13.836,14.076,72802500,11.55809
2015-11-26,14.832,14.856,14.64,14.676,55221000,12.05077
